,Bucket range,Monthly listeners,Name,Popularity Index,Playlist AVG Release Time,Career Started,Number of Tracks,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlists Likes,AVG Release Time Per Track Artist,AVG listeners playlist,Number of artists in playlist
0,0-618000,0.0,Stix Omar,21,395,1,1,1,0,1,723,1,282466,975
1,618000-1236000,650000.0,Liquid Soul,46,395,6186,282,46,0,305,723,21,230779,2697
