Unnamed: 0,Bucket range,Monthly listeners,Name,Popularity Index,Playlist AVG Release Time,Career Started,Number of Tracks,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlists Likes,AVG Release Time Per Track Artist,AVG listeners playlist,Number of artists in playlist,Performance,Name of the artist we are analyzing
16,98880-105060,104200.0,Der Dritte Raum,-3,286,-4203,-120,-78,-1,-137,-75164,0,-37976170,2657,You are doing worse by 182.584541090968% than model predicted. Time to improve!,Avalon
16,98880-105060,104200.0,Der Dritte Raum,1,314,1852,-4,195,0,478,-96732,11,-45352129,2468,You are doing worse by 172.94274286470005% than model predicted. Time to improve!,Dario D'Attis
