Artist,Artist AVG Release,Playlist Link,Playlist Description,Playlists Likes,Playlist AVG Release Time,Artist Inside,Artists Spotify Link,AVG Release Time Artist,Monthly Listeners,Career Started,Time Since Latest Release,Number of Tracks,AVG Release Time Per Track Artist,Instagram Link,Instagram Subscribers,Popularity Index,Artist Link,Average Likes,Average Comments,Average Release Time IG,Artist Link,Average Likes,Average Comments,Average Release Time IG
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Klleber Farias,https://open.spotify.com/artist/6gzc0iOY7FgoecW5Fg5DVz,Error,1000,Error,Error,Error,Error,No Instagram,-1,18,https://open.spotify.com/artist/6gzc0iOY7FgoecW5Fg5DVz,-1.0,-1.0,-1.0,https://open.spotify.com/artist/7L8bsKFWYTMJj9c5HIPNtR,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Lucas Gonçalves,https://open.spotify.com/artist/2OfOTmOMAgOsmbeGBCIiYA,187.2,879,1461,9.44708075474537,41,35,https://instagram.com/lgoncalvesoficial,5161,6,https://open.spotify.com/artist/2OfOTmOMAgOsmbeGBCIiYA,382.52777777777777,12.909090909090908,93.0,https://open.spotify.com/artist/5faEydMdOuKandDx40Cm1U,238.375,3.8333333333333335,7.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Elias Nadim,https://open.spotify.com/artist/4H7tqmn1eXoZJlxmisWzaH,138.333333333333,296,554,139.447099528276,4,138,No Instagram,-1,3,https://open.spotify.com/artist/4H7tqmn1eXoZJlxmisWzaH,-1.0,-1.0,-1.0,https://open.spotify.com/artist/215Kid3OrwPnoRKyp9yZ0z,313.8095238095238,6.333333333333333,6.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Camurça,https://open.spotify.com/artist/403tGQ47rMxSshoKZCmTck,385.5,699,1208,39.4471078591667,18,67,https://instagram.com/sigacamurca,2363,3,https://open.spotify.com/artist/403tGQ47rMxSshoKZCmTck,228.1764705882353,19.285714285714285,3.0,https://open.spotify.com/artist/3U36IGVaNf146V046O4Nus,196.0289855072464,8.461538461538462,25.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Jardim Soma,https://open.spotify.com/artist/4glULZigBa3SZBGQ8B1gNW,271.222222222222,615,1768,355.447133259352,18,98,https://instagram.com/lucabori44,10000,2,https://open.spotify.com/artist/4glULZigBa3SZBGQ8B1gNW,696.2857142857143,19.454545454545453,10.0,https://open.spotify.com/artist/0kHgYUOcTac5RhkYx1thsq,1258.571428571429,4.5,5.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Superguidis,https://open.spotify.com/artist/1YdUQSqAr5bNGXpIrghmjX,Error,1500,Error,Error,Error,Error,No Instagram,-1,9,https://open.spotify.com/artist/1YdUQSqAr5bNGXpIrghmjX,-1.0,-1.0,-1.0,https://open.spotify.com/artist/3SSU0eMtEG6qZjfMKT9QZv,-1.0,-1.0,-1.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,wander wildner,https://open.spotify.com/artist/3kkd2ywd7eR5uPocPzTwFE,1034.47368421053,41700,10060,144.4471688825,199,50,No Instagram,-1,29,https://open.spotify.com/artist/3kkd2ywd7eR5uPocPzTwFE,-1.0,-1.0,-1.0,https://open.spotify.com/artist/6D98ZmcoI3H0xuIelYvcoy,,,0.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Autoramas,https://open.spotify.com/artist/6IwPtS5L4cV9yCB66mhheZ,838.703703703704,27300,9270,285.44718315375,289,32,No Instagram,-1,23,https://open.spotify.com/artist/6IwPtS5L4cV9yCB66mhheZ,-1.0,-1.0,-1.0,https://open.spotify.com/artist/3D7VHcFLuxc2mlzoH5ngpe,427.82608695652175,4.769230769230769,9.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Mopho,https://open.spotify.com/artist/3V7zdLPf0ENoaFO4Lvl0m6,3981.66666666667,4000,8588,774.447193929873,42,204,No Instagram,-1,11,https://open.spotify.com/artist/3V7zdLPf0ENoaFO4Lvl0m6,-1.0,-1.0,-1.0,https://open.spotify.com/artist/7oBDL5MkvIMPP7CVYqiTJt,294.7619047619048,0.0,11.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Ciça Moreira,https://open.spotify.com/artist/6d4FihzI3byHpea2O2SCJt,75.08,17900,978,4.44720330173611,45,21,https://instagram.com/cicamoreiradorock/,35000,24,https://open.spotify.com/artist/6d4FihzI3byHpea2O2SCJt,3854.212765957447,36.76923076923077,0.0,https://open.spotify.com/artist/4kBXV5Vxo2IKvk2iIwTLEx,1182.657894736842,3.933333333333333,37.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Alemão Abstrato,https://open.spotify.com/artist/1JPjaZWNz7Ht4ZbJimNEkY,963.714285714286,335,6873,127.447225370521,23,298,No Instagram,-1,7,https://open.spotify.com/artist/1JPjaZWNz7Ht4ZbJimNEkY,-1.0,-1.0,-1.0,https://open.spotify.com/artist/3PM18ZXx8JLD2L7rYxr7M3,172.625,16.0,5.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,Giovanna Moraes,https://open.spotify.com/artist/1NYYWX3yvMjUMkXRkgVKxb,277.25,1300,816,6.4472321146412,14,58,https://instagram.com/gggiovannamoraes/,12000,6,https://open.spotify.com/artist/1NYYWX3yvMjUMkXRkgVKxb,1451.171875,7.6,1.0,https://open.spotify.com/artist/1GQur7dDvAWhKT9u9YwBJZ,45041.0,154.5,0.0
LOVNIS,138.25,https://open.spotify.com/playlist/37i9dQZF1E4wzd2zzJigzu,"With Westhafen, Caetano Veloso, Gilberto Gil and more",0,782.94419775037,R.Sigma,https://open.spotify.com/artist/3TNHibACw2s9PnGFgp4KSG,Error,15800,Error,Error,Error,Error,No Instagram,-1,19,https://open.spotify.com/artist/3TNHibACw2s9PnGFgp4KSG,-1.0,-1.0,-1.0,https://open.spotify.com/artist/77WeanzBemonYeCtDeDuyD,,,0.0
