index,Artist,Playlist AVG Release Time,Instagram Link,Artists Spotify Link,Career Started,Number of Tracks,Instagram Subscribers,Monthly Listeners,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlist Description,Playlists Likes,Average Comments,Artist AVG Release,Playlist Link,Popularity Index,Artist Inside,AVG Release Time Per Track Artist,Average Likes,AVG listeners playlist,Number of artists in playlist
0,LOVNIS,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
1,ULITKA,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
2,Mark Loughrey,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,0.0,3.0
832,Ponte Pilas,395.4468054149948,https://instagram.com/tibi_dabo,https://open.spotify.com/artist/3PbY6HSGOo5aqdo2TGo5ye,2097.0,27.0,-1.0,20600.0,18.467778849756943,0.0,189.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,20,Tibi Dabo,77.0,,282466.19384615385,975.0
833,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/33EBuUkAa5DFVmu3Xht4X8,3495.0,68.0,-1.0,11700.0,50.4678175996875,-1.0,175.73333333333332,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,19,Atacama,51.0,-1.0,282466.19384615385,975.0
834,Ponte Pilas,395.4468054149948,https://instagram.com/piganddan,https://open.spotify.com/artist/04jj7dljPI0ixtNsz2pXWK,6459.0,484.0,-1.0,262500.0,11.467923470601852,0.0,125.232,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,38,Pig&amp;Dan,13.0,,282466.19384615385,975.0
835,Ponte Pilas,395.4468054149948,https://instagram.com/crilleundtamalt,https://open.spotify.com/artist/7dVnh8D4MZWPd0XcXCwoNz,1609.0,14.0,-1.0,824.0,46.46796247490741,0.0,390.75,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,4,Crille &amp; Tamalt,114.0,,282466.19384615385,975.0
836,Ponte Pilas,395.4468054149948,https://instagram.com/ohwhy__,https://open.spotify.com/artist/4VqH0mBvO9KUg195zWgfmB,1831.0,10.0,-1.0,22900.0,1040.4680026590047,0.0,791.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,21,O/Y,183.0,,282466.19384615385,975.0
837,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/1VLqhTOnG3RulADitPNqLt,4369.0,106.0,-1.0,23100.0,179.46803897722222,-1.0,212.38095238095238,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,22,Setaoc Mass,41.0,-1.0,282466.19384615385,975.0
838,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/4hXZQPceQIf654OSomVXOs,8126.0,243.0,-1.0,136800.0,176.46808000402777,-1.0,249.27272727272728,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,34,Terrence Parker,33.0,-1.0,282466.19384615385,975.0
839,Ponte Pilas,395.4468054149948,https://instagram.com/minhaloucuratemtrilhasonora,https://open.spotify.com/artist/7h8xz8JZYUH9d2rDBnlyPQ,6428.0,66.0,-1.0,19500.0,179.46810790092593,0.0,763.1578947368421,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,24,Noporn,97.0,,282466.19384615385,975.0
840,Ponte Pilas,395.4468054149948,https://instagram.com/satorimusica,https://open.spotify.com/artist/5nri3hyKmKBGAfvjBi0mK0,4320.0,81.0,-1.0,439300.0,28.468189430810185,0.0,528.7894736842105,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,44,Satori,53.0,,282466.19384615385,975.0
841,Ponte Pilas,395.4468054149948,No Instagram,https://open.spotify.com/artist/3t3sAJOr6puLvxyASWr4jB,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,20,Apocalypse Vega,0.0,-1.0,282466.19384615385,975.0
842,Ponte Pilas,395.4468054149948,https://instagram.com/hatikwa_official,https://open.spotify.com/artist/59iFYzojTKG1HTSyGSauhk,3580.0,84.0,-1.0,51600.0,4.468242529085648,0.0,371.08,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,32,Hatikwa,42.0,,282466.19384615385,975.0
843,Ponte Pilas,395.4468054149948,https://instagram.com/sindsindsind,https://open.spotify.com/artist/7vTMiWoEUt3NEcGUtghAMi,2391.0,52.0,-1.0,88700.0,291.4682818940625,0.0,306.7647058823529,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,33,SIND,45.0,,282466.19384615385,975.0
844,Ponte Pilas,395.4468054149948,https://instagram.com/lee_jones_music,https://open.spotify.com/artist/5auQPeqrOncPRuutwAyjSz,6021.0,98.0,-1.0,59000.0,256.46833718849535,0.0,636.375,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,27,Lee Jones,61.0,,282466.19384615385,975.0
845,Ponte Pilas,395.4468054149948,https://instagram.com/rootszombie,https://open.spotify.com/artist/5EuToKPPl4hmqXj04uFGci,2829.0,72.0,-1.0,2600.0,55.46837740121528,0.0,948.75,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,10,Roots Zombie,39.0,,282466.19384615385,975.0
846,Ponte Pilas,395.4468054149948,https://instagram.com/kaufmann.unofficial,https://open.spotify.com/artist/4vyVLlQZTWLkuvSXaNMv4v,1173.0,12.0,-1.0,36800.0,39.46841733568287,0.0,378.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,27,Kaufmann (DE),97.0,,282466.19384615385,975.0
847,Ponte Pilas,395.4468054149948,https://instagram.com/wa22ermann/,https://open.spotify.com/artist/6WJVluElmUFNEsOl7TPX8X,648.0,14.0,-1.0,118000.0,33.46845398390047,0.0,68.33333333333333,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,37,Wa22ermann,46.0,,282466.19384615385,975.0
848,Ponte Pilas,395.4468054149948,https://instagram.com/mobinagalore,https://open.spotify.com/artist/1c1um4ivH5WbdAtg1y6IFe,3164.0,48.0,-1.0,28500.0,333.4684914962153,0.0,771.2222222222222,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,27,Mobina Galore,65.0,,282466.19384615385,975.0
849,Ponte Pilas,395.4468054149948,"s://www.instagram.com/dj.dasco
https://ra.co/dj/dasco</span></p></div></div></div><div class=""_STYpglIwDef2Vqxu7xV""><p class=""Type__TypeElement-sc-goli3j-0 fAJsTt"" data-encore-id=""type"">5,545</p><p class=""Type__TypeElement-sc-goli3j-0 fZDcWX"" data-encore-id=""type"">Followers</p></div><div class=""ZdmJvgeayszd6ZvSl5B6""><ul class=""EU6g4QXfyD_TGfFXIMAQ""><li class=""p44AskfOeVB1s75duZoC""><a class=""njTqo2LYbrg0pH171b_U"" href=""https://facebook.com/dj.dasco",https://open.spotify.com/artist/1uWXQVDLruQwFEaGtQeWuc,1877.0,22.0,-1.0,3500.0,5.46851496787037,-1.0,234.0,"1-3 tracks per artist. Full lineup, last update. See more at https:&#x2F;&#x2F;lineup.pizza&#x2F;fusion",724,-1.0,238.71428571428572,https://open.spotify.com/playlist/634v1LYHjMwV6IqSUBT32V,9,DASCO,85.0,-1.0,282466.19384615385,975.0
