,Bucket range,Monthly listeners,Name,Popularity Index,Playlist AVG Release Time,Career Started,Number of Tracks,Time Since Latest Release,Average Release Time IG,AVG Release Time Artist,Playlists Likes,AVG Release Time Per Track Artist,AVG listeners playlist,Number of artists in playlist
0,0-61800,0.0,emmamaelo,1,395,1,1,1,0,1,723,1,230779,2697
1,61800-123600,95300.0,Dario D'Attis,32,395,4026,173,39,0,154,723,23,230779,2697
2,123600-185400,156000.0,Rhode,36,395,1156,24,32,0,74,723,48,230779,2697
3,185400-247200,210900.0,Avalon,39,395,4990,90,15,0,394,723,55,230779,2697
4,247200-309000,272200.0,Midnight Magic,39,395,4778,113,125,0,431,723,42,230779,2697
5,309000-370800,314600.0,DJ Daddy Trance,42,395,654,11,81,0,191,723,59,230779,2697
6,370800-432600,426800.0,Marti Fischer,45,395,3760,41,81,0,396,723,90,230779,2697
7,432600-494400,483100.0,Dilla,49,395,729,17,11,0,55,723,42,230779,2697
8,494400-556200,537300.0,Young Marco,45,395,4186,81,133,0,765,723,51,230779,2697
10,618000-679800,650000.0,Liquid Soul,46,395,6186,282,46,0,305,723,21,230779,2697
16,988800-1050600,1000000.0,horsegiirL,51,395,536,11,56,0,79,723,48,230779,2697
17,1050600-1112400,1100000.0,MCR-T,53,395,1931,69,53,0,207,723,27,230779,2697
19,1174200-1236000,1200000.0,Adriatique,54,395,4333,110,74,0,285,723,38,230779,2697
24,1483200-1545000,1500000.0,Matt Corby,54,605,3916,64,137,10,465,137,59,230779,2697
29,1792200-1854000,1800000.0,Anna Naklab,53,395,3744,42,753,0,157,723,88,230779,2697
40,2472000-2533800,2500000.0,SFR,62,395,2747,135,11,0,349,723,19,230779,2697
93,5747400-5809200,5800000.0,Wings,63,395,18872,206,16134,0,273,723,90,230779,2697
95,5871000-5932800,5900000.0,Corinne Bailey Rae,62,605,6428,103,50,0,993,137,62,230779,2697
291,17983800-18045600,18000000.0,Peggy Gou,73,395,2741,62,54,0,217,723,43,230779,2697
446,27562800-27624600,27600000.0,Kygo,77,605,3737,138,130,0,143,137,27,230779,2697
