Artist in main Playlist,Playlist,Artist Found,Artist Link,Monthly Listeners,IG,On Tour
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,STORBAN,https://open.spotify.com/artist/69eZ0pt71hHsPD6NxaXCUd,7.0,No Instagram,False
e Randy,https://open.spotify.com/playlist/7866yQwqVU9hsDD0F1TG8Y,KNOCK OUT MONKEY,https://open.spotify.com/artist/5Kmgbag5URQXVqUUtvXe1S,15700.0,https://instagram.com/kom_official1002/,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Valerissa,https://open.spotify.com/artist/2ifVRae24b8QpVPIg42vfv,23.0,https://instagram.com/valerissa.original?igshid=YmMyMTA2M2Y=,False
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,KAFVKA,https://open.spotify.com/artist/3L0djJm2FSPciCF4NvNBxd,84500.0,https://instagram.com/kafvkaoffiziell,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Liedfett,https://open.spotify.com/artist/1KiNsBHJte2NL9dNjiw1ye,187900.0,https://instagram.com/liedfett,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Tamas,https://open.spotify.com/artist/7LShuJy9qVI7HLLvFR2uOI,70600.0,https://instagram.com/tamas_offiziell/,False
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,e Randy,https://open.spotify.com/artist/0fk5Etx4aZOTllswxvznDk,91.0,https://instagram.com/ctrlerandy/,False
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Yassin,https://open.spotify.com/artist/04D2woeEnCEpk3Y01gTHy3,192300.0,https://instagram.com/ypsilondope,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,Audio88,https://open.spotify.com/artist/4YlBDllKcEFrLtby1mqaEK,163500.0,No Instagram,True
e Randy,https://open.spotify.com/playlist/2BmsOiEgxwComYjoWrkzWG,DAZZIT,https://open.spotify.com/artist/5SOl3LVqx4xg1BPNKk7Ak0,31400.0,https://instagram.com/itsdazzit,False
